                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2996,                 1.0883,                  1.304,                0.70153,                   0.28,                0.30466,                0.12156,                 2.8477,                 2.6904,                 2.8914,                0.00018,                0.00018,                0.00018
                      2,                 2.3423,                 1.1219,                 1.3953,                 0.5217,                   0.26,                0.22123,                0.06543,                  3.043,                 2.9966,                 2.9956,             0.00037875,             0.00037875,             0.00037875
                      3,                  2.383,                 1.1488,                 1.4078,                0.59639,                   0.26,                0.25894,                0.09674,                 2.9671,                 3.0396,                 2.9286,             0.00057617,             0.00057617,             0.00057617
                      4,                 2.2863,                 1.1427,                 1.4068,                0.60724,                0.27333,                0.27841,                0.10648,                 2.8225,                 2.9147,                 2.8836,             0.00077228,             0.00077228,             0.00077228
                      5,                 2.3612,                 1.1141,                 1.3516,                0.62465,                0.24667,                0.22212,                0.08804,                 2.9028,                 2.9873,                 3.1356,             0.00096706,             0.00096706,             0.00096706
                      6,                 2.2702,                 1.0889,                 1.3406,                0.28468,                   0.24,                0.09971,                0.03916,                 3.0246,                 3.6331,                 3.0133,              0.0011605,              0.0011605,              0.0011605
                      7,                 2.3169,                 1.1052,                 1.3739,                0.35524,                   0.22,                0.15209,                0.06048,                 2.9199,                 4.0541,                 2.9293,              0.0013527,              0.0013527,              0.0013527
                      8,                 2.3437,                 1.1224,                 1.3431,                0.59001,                0.23333,                0.23219,                0.08148,                 3.0113,                 3.2701,                 2.8876,              0.0015435,              0.0015435,              0.0015435
                      9,                 2.3251,                 1.1404,                 1.3825,                0.66372,                0.24667,                0.25104,                0.09386,                 2.8677,                 3.3848,                  2.898,               0.001733,               0.001733,               0.001733
                     10,                 2.2725,                 1.1252,                 1.4243,                0.48954,                   0.26,                0.23731,                0.10121,                 2.9035,                 2.9568,                 2.9165,              0.0019212,              0.0019212,              0.0019212
                     11,                 2.3369,                 1.1165,                 1.3744,                0.57653,                0.24507,                0.24384,                0.09578,                 2.9215,                 2.6561,                 2.9345,               0.001934,               0.001934,               0.001934
                     12,                 2.3233,                 1.1226,                 1.4093,                0.66283,                   0.22,                0.22243,                0.07821,                  2.998,                 3.3064,                 3.0127,               0.001934,               0.001934,               0.001934
                     13,                  2.286,                  1.125,                  1.383,                0.63449,                0.20667,                0.21665,                0.06991,                 3.0051,                 3.1472,                 2.9554,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.3047,                 1.1172,                 1.3446,                0.68427,                  0.289,                0.27755,                0.11313,                 2.9061,                 3.1627,                 2.8437,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.3042,                 1.1126,                 1.3597,                0.64788,                0.27333,                0.28521,                0.12003,                 2.8857,                 3.0993,                  2.855,              0.0019142,              0.0019142,              0.0019142
                     16,                 2.3062,                 1.1409,                 1.4202,                0.54436,                0.23333,                0.23738,                0.08854,                  2.964,                 3.3306,                 3.0149,              0.0019076,              0.0019076,              0.0019076
                     17,                 2.2323,                 1.0958,                 1.3348,                 0.5369,                   0.24,                 0.2289,                0.09036,                 2.9225,                  3.587,                 2.8429,               0.001901,               0.001901,               0.001901
                     18,                 2.2604,                  1.073,                 1.3624,                0.62175,                0.25333,                0.25264,                0.10818,                 2.7772,                 3.0924,                 2.7207,              0.0018944,              0.0018944,              0.0018944
                     19,                 2.2132,                 1.0855,                 1.3558,                0.46579,                   0.26,                0.23171,                0.07809,                 2.9442,                 3.1475,                 2.8825,              0.0018878,              0.0018878,              0.0018878
                     20,                 2.2299,                  1.062,                 1.3842,                0.62879,                0.25333,                0.26138,                0.11128,                 2.8929,                 3.4462,                 2.8194,              0.0018812,              0.0018812,              0.0018812
                     21,                 2.3205,                 1.0691,                 1.3583,                0.84422,                   0.26,                0.27337,                 0.1181,                 2.8368,                 3.5393,                 2.8172,              0.0018746,              0.0018746,              0.0018746
                     22,                 2.2317,                 1.0753,                 1.4056,                 0.6666,                0.25333,                0.27261,                0.08188,                 3.0997,                 3.2667,                 2.9615,               0.001868,               0.001868,               0.001868
                     23,                 2.3132,                 1.1207,                 1.3852,                 0.4246,                0.31333,                0.25366,                0.09402,                 2.9829,                 2.9844,                 3.0697,              0.0018614,              0.0018614,              0.0018614
                     24,                 2.3096,                 1.1266,                 1.3916,                0.36997,                0.23333,                 0.1923,                0.06881,                 3.0179,                 3.0727,                  2.977,              0.0018548,              0.0018548,              0.0018548
                     25,                 2.2013,                 1.0906,                 1.3961,                0.57619,                0.23333,                0.24654,                0.09306,                 2.8594,                 3.2541,                 2.8731,              0.0018482,              0.0018482,              0.0018482
                     26,                 2.2681,                 1.0939,                 1.3572,                0.37164,                0.26667,                0.16721,                0.06297,                 2.9131,                 3.2878,                 2.9778,              0.0018416,              0.0018416,              0.0018416
                     27,                 2.2272,                 1.0775,                 1.3702,                0.45373,                0.27333,                0.20256,                0.06559,                 2.8828,                 3.3577,                 2.9886,               0.001835,               0.001835,               0.001835
                     28,                 2.2235,                 1.0642,                   1.35,                0.52773,                0.25333,                0.20622,                 0.0751,                 2.9931,                 3.8595,                 3.0454,              0.0018284,              0.0018284,              0.0018284
                     29,                  2.263,                 1.0659,                 1.4002,                0.54585,                   0.26,                 0.2294,                0.08497,                 2.8419,                 3.4964,                 2.8845,              0.0018218,              0.0018218,              0.0018218
                     30,                 2.2736,                 1.0551,                  1.304,                  0.595,                   0.28,                0.25218,                0.10462,                 2.8966,                 3.5269,                 2.8334,              0.0018152,              0.0018152,              0.0018152
                     31,                 2.2246,                 1.0319,                   1.35,                0.52695,                   0.26,                0.24663,                0.09057,                 2.9046,                 3.4121,                 2.8694,              0.0018086,              0.0018086,              0.0018086
                     32,                 2.2412,                 1.0522,                 1.3511,                0.56495,                0.27333,                0.27298,                0.10564,                 2.9336,                 3.2366,                 2.8552,               0.001802,               0.001802,               0.001802
                     33,                 2.2154,                 1.0336,                 1.3233,                0.59628,                0.25333,                 0.2832,                0.10795,                 2.7869,                 3.2996,                 2.8244,              0.0017954,              0.0017954,              0.0017954
                     34,                 2.2379,                 1.0301,                 1.3806,                0.55492,                0.26599,                0.23798,                0.09128,                 2.8615,                 3.3268,                 2.7904,              0.0017888,              0.0017888,              0.0017888
                     35,                 2.2188,                 1.0398,                 1.3051,                0.45983,                0.28667,                0.18571,                0.06205,                 2.9133,                 3.5717,                 2.7545,              0.0017822,              0.0017822,              0.0017822
                     36,                 2.2016,                 1.0234,                 1.3609,                0.42702,                0.29333,                0.18009,                0.06866,                 2.8853,                  3.318,                 2.7069,              0.0017756,              0.0017756,              0.0017756
                     37,                 2.2291,                 1.0165,                 1.3128,                0.56785,                0.28667,                 0.2346,                 0.0926,                 2.8553,                 3.3815,                 2.6929,               0.001769,               0.001769,               0.001769
                     38,                 2.1963,                 1.0167,                 1.3519,                0.56754,                0.27997,                0.26206,                0.09983,                 2.8111,                 3.3078,                  2.767,              0.0017624,              0.0017624,              0.0017624
                     39,                 2.2705,                 1.0371,                 1.3467,                 0.4971,                 0.2702,                0.24374,                0.08581,                 2.9607,                 3.4471,                 2.8402,              0.0017558,              0.0017558,              0.0017558
                     40,                 2.2197,                 1.0439,                 1.3809,                0.72816,                   0.26,                0.27692,                0.10416,                   2.93,                 3.2179,                 2.8482,              0.0017492,              0.0017492,              0.0017492
                     41,                 2.1722,                 1.0288,                 1.3028,                0.51744,                0.25333,                0.22516,                0.08637,                 2.9699,                 3.3258,                 2.9072,              0.0017426,              0.0017426,              0.0017426
                     42,                 2.2222,                 1.0477,                 1.3295,                0.55674,                0.27333,                0.26215,                0.09244,                 3.0088,                 3.1369,                 2.9535,               0.001736,               0.001736,               0.001736
                     43,                  2.202,                 1.0134,                 1.2921,                0.61314,                0.28667,                0.26999,                0.10383,                 2.9171,                 3.3031,                 2.8943,              0.0017294,              0.0017294,              0.0017294
                     44,                 2.2296,                 1.0155,                 1.2735,                 0.4613,                0.24549,                0.20165,                0.07911,                 2.8678,                 3.4693,                 2.7496,              0.0017228,              0.0017228,              0.0017228
                     45,                 2.1654,                 1.0119,                 1.3641,                0.52621,                0.22956,                0.23771,                0.09652,                  2.878,                 3.0903,                 2.7603,              0.0017162,              0.0017162,              0.0017162
                     46,                 2.1673,                0.97265,                 1.3147,                0.47124,                0.25333,                0.24416,                0.08894,                 3.0029,                 2.9563,                  2.969,              0.0017096,              0.0017096,              0.0017096
                     47,                  2.229,                0.99754,                 1.2686,                0.57045,                0.27446,                0.29196,                0.11206,                  2.932,                 2.9579,                 2.8225,               0.001703,               0.001703,               0.001703
                     48,                 2.2295,                 1.0135,                 1.3637,                0.76549,                   0.26,                0.26419,                 0.1002,                 2.8914,                 3.4205,                 2.8387,              0.0016964,              0.0016964,              0.0016964
                     49,                 2.1509,                 1.0277,                 1.3227,                 0.7502,                0.24026,                0.25687,                0.09198,                 2.9164,                 3.6535,                 2.9094,              0.0016898,              0.0016898,              0.0016898
                     50,                 2.1665,                 1.0107,                 1.3537,                0.61041,                   0.22,                0.24602,                0.08235,                 2.8971,                 3.6653,                 2.8257,              0.0016832,              0.0016832,              0.0016832
                     51,                 2.2016,                 1.0216,                 1.3344,                0.62381,                   0.26,                0.27159,                0.09892,                 2.8795,                 3.5356,                 2.8713,              0.0016766,              0.0016766,              0.0016766
