                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8938,                  1.203,                 2.3832,                      0,                      0,                      0,                      0,                 6.8537,                 4.4604,                 4.5622,                      0,                      0,                      0
                      2,                 3.2641,                 1.5372,                 2.4685,                      0,                      0,                      0,                      0,                 6.8538,                 4.4627,                 4.5624,               1.98e-05,               1.98e-05,               1.98e-05
                      3,                 2.8709,                 1.2508,                   2.42,                      0,                      0,                      0,                      0,                 6.8539,                 4.4583,                 4.5622,             3.9201e-05,             3.9201e-05,             3.9201e-05
                      4,                 3.0413,                 1.2743,                  2.357,                      0,                      0,                      0,                      0,                 6.8538,                 4.4454,                 4.5602,             5.8202e-05,             5.8202e-05,             5.8202e-05
                      5,                 3.5649,                 1.2719,                 2.0304,                      0,                      0,                      0,                      0,                 6.8536,                 4.4328,                 4.5564,             7.6803e-05,             7.6803e-05,             7.6803e-05
                      6,                 2.8075,                 1.2503,                 2.2118,                      0,                      0,                      0,                      0,                 6.8532,                 4.4267,                 4.5505,             9.5005e-05,             9.5005e-05,             9.5005e-05
                      7,                 3.1869,                 1.4008,                 2.4697,                      0,                      0,                      0,                      0,                 6.8526,                 4.4226,                 4.5426,             0.00011281,             0.00011281,             0.00011281
                      8,                 3.0805,                  1.439,                  2.605,                      0,                      0,                      0,                      0,                 6.8523,                 4.4264,                  4.537,             0.00013021,             0.00013021,             0.00013021
                      9,                 3.1248,                 1.3056,                 2.3197,                      0,                      0,                      0,                      0,                 6.8523,                 4.4264,                  4.537,             0.00014721,             0.00014721,             0.00014721
                     10,                 2.8142,                 1.1844,                 2.2146,                      0,                      0,                      0,                      0,                  6.852,                 4.4227,                 4.5286,             0.00016382,             0.00016382,             0.00016382
                     11,                 3.8666,                 1.3538,                 2.0619,                      0,                      0,                      0,                      0,                  6.852,                 4.4227,                 4.5286,             0.00018002,             0.00018002,             0.00018002
                     12,                 3.2963,                 1.2279,                 2.1826,                      0,                      0,                      0,                      0,                 6.8514,                 4.3953,                 4.5182,             0.00019582,             0.00019582,             0.00019582
                     13,                 3.6709,                 1.3144,                 2.2079,                      0,                      0,                      0,                      0,                 6.8514,                 4.3953,                 4.5182,             0.00021123,             0.00021123,             0.00021123
                     14,                 2.9035,                  1.322,                 2.3808,                      0,                      0,                      0,                      0,                 6.8505,                 4.3517,                 4.5034,             0.00022623,             0.00022623,             0.00022623
                     15,                 3.4702,                 1.3699,                 2.0964,                      0,                      0,                      0,                      0,                 6.8505,                 4.3517,                 4.5034,             0.00024084,             0.00024084,             0.00024084
                     16,                 2.8943,                 1.1718,                 2.1546,                      0,                      0,                      0,                      0,                 6.8476,                 4.2934,                 4.4765,             0.00025504,             0.00025504,             0.00025504
                     17,                 2.7315,                 1.1873,                  2.112,                      0,                      0,                      0,                      0,                 6.8476,                 4.2934,                 4.4765,             0.00026885,             0.00026885,             0.00026885
                     18,                 3.0742,                 1.3629,                 2.4163,                      0,                      0,                      0,                      0,                 6.8413,                 4.2507,                 4.4391,             0.00028226,             0.00028226,             0.00028226
                     19,                 2.6993,                 1.5181,                 2.5747,                      0,                      0,                      0,                      0,                 6.8413,                 4.2507,                 4.4391,             0.00029526,             0.00029526,             0.00029526
                     20,                 3.3087,                 1.3706,                  2.245,                      0,                      0,                      0,                      0,                 6.8302,                 4.2244,                 4.3995,             0.00030787,             0.00030787,             0.00030787
                     21,                   2.81,                 1.4377,                 2.4474,                      0,                      0,                      0,                      0,                 6.8302,                 4.2244,                 4.3995,             0.00032008,             0.00032008,             0.00032008
                     22,                   2.65,                 1.2018,                 2.2585,                      0,                      0,                      0,                      0,                 6.8117,                 4.1795,                 4.3489,             0.00033189,             0.00033189,             0.00033189
                     23,                 2.8319,                 1.1449,                 1.8937,                      0,                      0,                      0,                      0,                 6.8117,                 4.1795,                 4.3489,              0.0003433,              0.0003433,              0.0003433
                     24,                 2.8508,                 1.2053,                 2.0707,                      0,                      0,                      0,                      0,                 6.8117,                 4.1795,                 4.3489,             0.00035431,             0.00035431,             0.00035431
                     25,                 2.9686,                 1.2772,                 2.3925,                      0,                      0,                      0,                      0,                 6.7576,                 4.0931,                 4.2706,             0.00036492,             0.00036492,             0.00036492
                     26,                 3.4357,                 1.2982,                 2.2242,                      0,                      0,                      0,                      0,                 6.7576,                 4.0931,                 4.2706,             0.00037512,             0.00037512,             0.00037512
                     27,                 3.1176,                 1.2392,                 2.1615,                      0,                      0,                      0,                      0,                 6.7576,                 4.0931,                 4.2706,             0.00038494,             0.00038494,             0.00038494
                     28,                  3.134,                 1.1778,                 2.0174,                      0,                      0,                      0,                      0,                 6.6629,                 3.9785,                 4.1845,             0.00039435,             0.00039435,             0.00039435
                     29,                 3.3102,                 1.2541,                 2.1848,                      0,                      0,                      0,                      0,                 6.6629,                 3.9785,                 4.1845,             0.00040336,             0.00040336,             0.00040336
                     30,                 3.0853,                 1.3074,                 2.2938,                      0,                      0,                      0,                      0,                 6.6629,                 3.9785,                 4.1845,             0.00041197,             0.00041197,             0.00041197
                     31,                 3.3162,                 1.2977,                 2.1536,                      0,                      0,                      0,                      0,                 6.5774,                 3.8719,                 4.1204,             0.00042018,             0.00042018,             0.00042018
                     32,                 3.3628,                 1.1936,                 2.0219,                      0,                      0,                      0,                      0,                 6.5774,                 3.8719,                 4.1204,             0.00042799,             0.00042799,             0.00042799
                     33,                 2.6096,                 1.2883,                 2.4407,                      0,                      0,                      0,                      0,                 6.5774,                 3.8719,                 4.1204,              0.0004354,              0.0004354,              0.0004354
                     34,                 3.3348,                 1.8161,                 2.6182,                0.00333,                0.02857,                0.02663,                0.00266,                 6.5002,                 3.7766,                 4.0678,             0.00044242,             0.00044242,             0.00044242
                     35,                 2.7849,                 1.1286,                 1.9405,                0.00333,                0.02857,                0.02663,                0.00266,                 6.5002,                 3.7766,                 4.0678,             0.00044903,             0.00044903,             0.00044903
                     36,                 2.6854,                 1.1473,                 2.0783,                0.00333,                0.02857,                0.02663,                0.00266,                 6.5002,                 3.7766,                 4.0678,             0.00045524,             0.00045524,             0.00045524
                     37,                  2.661,                  1.106,                 1.9136,                0.00333,                0.02857,                0.02663,                0.00266,                 6.5002,                 3.7766,                 4.0678,             0.00046106,             0.00046106,             0.00046106
                     38,                 2.8812,                 1.0982,                 1.8135,                0.02443,                0.05714,                0.04316,                0.00432,                 6.2164,                 3.5572,                 3.9058,             0.00046647,             0.00046647,             0.00046647
                     39,                 2.7578,                 1.3353,                 2.2713,                0.02443,                0.05714,                0.04316,                0.00432,                 6.2164,                 3.5572,                 3.9058,             0.00047149,             0.00047149,             0.00047149
                     40,                 3.1677,                 1.2417,                  2.154,                0.02443,                0.05714,                0.04316,                0.00432,                 6.2164,                 3.5572,                 3.9058,              0.0004761,              0.0004761,              0.0004761
                     41,                 2.7725,                 1.1945,                 2.0081,                0.02443,                0.05714,                0.04316,                0.00432,                 6.2164,                 3.5572,                 3.9058,             0.00048032,             0.00048032,             0.00048032
                     42,                 2.6547,                 1.2326,                 2.1466,                0.33704,                0.08571,                0.08208,                0.01924,                 5.8538,                 3.2961,                 3.6939,             0.00048414,             0.00048414,             0.00048414
                     43,                 2.9706,                 1.3025,                 2.2788,                0.33704,                0.08571,                0.08208,                0.01924,                 5.8538,                 3.2961,                 3.6939,             0.00048755,             0.00048755,             0.00048755
                     44,                 3.1642,                 1.2799,                 2.1791,                0.33704,                0.08571,                0.08208,                0.01924,                 5.8538,                 3.2961,                 3.6939,             0.00049057,             0.00049057,             0.00049057
