                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5232,                 3.8149,                 4.3695,                      0,                      0,                      0,                      0,                  5.633,                 3.7653,                 4.1594,                      0,                      0,                      0
                      2,                 4.9362,                  3.967,                 4.2339,                      0,                      0,                      0,                      0,                 5.6333,                 3.7651,                 4.1598,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 6.0015,                 4.7723,                 4.3199,                      0,                      0,                      0,                      0,                 5.6335,                 3.7649,                 4.1602,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 4.8987,                 4.3209,                 4.5392,                      0,                      0,                      0,                      0,                 5.6338,                 3.7648,                 4.1606,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 4.6217,                 4.0194,                 4.3665,                      0,                      0,                      0,                      0,                  5.634,                 3.7648,                  4.161,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 4.3622,                 3.7814,                 4.2297,                      0,                      0,                      0,                      0,                 5.6341,                 3.7649,                 4.1613,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                  4.619,                 4.0161,                  4.362,                      0,                      0,                      0,                      0,                 5.6343,                 3.7652,                 4.1616,             0.00011287,             0.00011287,             0.00011287
                      8,                 5.3574,                 3.9713,                 4.2312,                      0,                      0,                      0,                      0,                 5.6344,                 3.7658,                 4.1619,              0.0001303,              0.0001303,              0.0001303
                      9,                 6.3628,                 4.8176,                 4.2105,                      0,                      0,                      0,                      0,                 5.6348,                  3.766,                 4.1621,             0.00014733,             0.00014733,             0.00014733
                     10,                 5.4999,                 4.0483,                 4.2298,                      0,                      0,                      0,                      0,                 5.6348,                 3.7662,                 4.1623,             0.00016396,             0.00016396,             0.00016396
                     11,                 4.6273,                  3.869,                 4.2062,                      0,                      0,                      0,                      0,                 5.6348,                 3.7662,                 4.1624,              0.0001802,              0.0001802,              0.0001802
                     12,                 5.1261,                 3.8983,                 4.1826,                      0,                      0,                      0,                      0,                 5.6348,                 3.7661,                 4.1625,             0.00019604,             0.00019604,             0.00019604
                     13,                 5.7972,                 4.1545,                  4.157,                      0,                      0,                      0,                      0,                 5.6348,                 3.7658,                 4.1624,             0.00021149,             0.00021149,             0.00021149
