                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4429,                 4.1981,                 4.3255,                      0,                      0,                      0,                      0,                 6.7843,                 4.0256,                 4.1593,                      0,                      0,                      0
                      2,                 6.3387,                 4.3885,                 4.3834,                      0,                      0,                      0,                      0,                 6.7845,                 4.0257,                 4.1597,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                   6.43,                 4.2562,                 4.5775,                      0,                      0,                      0,                      0,                 6.7846,                 4.0258,                   4.16,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 6.4605,                 4.1918,                 4.3425,                      0,                      0,                      0,                      0,                 6.7848,                 4.0259,                 4.1604,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 6.9302,                 4.6168,                 4.4039,                      0,                      0,                      0,                      0,                 6.7849,                 4.0263,                 4.1608,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 6.6006,                 4.1633,                 4.3521,                      0,                      0,                      0,                      0,                 6.7851,                 4.0269,                 4.1613,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 6.3471,                 4.0902,                 4.2061,                      0,                      0,                      0,                      0,                 6.7852,                 4.0276,                 4.1619,             0.00011287,             0.00011287,             0.00011287
                      8,                 6.0605,                 3.9466,                 4.3468,                      0,                      0,                      0,                      0,                 6.7854,                 4.0286,                 4.1625,              0.0001303,              0.0001303,              0.0001303
                      9,                  6.461,                 4.0463,                 4.1282,                      0,                      0,                      0,                      0,                 6.7856,                 4.0299,                 4.1632,             0.00014733,             0.00014733,             0.00014733
                     10,                 6.5999,                 3.7386,                 4.0646,                      0,                      0,                      0,                      0,                 6.7858,                 4.0314,                 4.1641,             0.00016396,             0.00016396,             0.00016396
                     11,                 6.8233,                 4.5015,                 4.0758,                      0,                      0,                      0,                      0,                 6.7861,                 4.0334,                 4.1652,              0.0001802,              0.0001802,              0.0001802
                     12,                 6.2023,                 3.6873,                 4.0927,                      0,                      0,                      0,                      0,                 6.7863,                 4.0356,                 4.1665,             0.00019604,             0.00019604,             0.00019604
                     13,                 6.6507,                 3.9742,                 3.9993,                      0,                      0,                      0,                      0,                 6.7867,                 4.0379,                  4.168,             0.00021149,             0.00021149,             0.00021149
                     14,                  6.034,                 3.2664,                 3.9901,                      0,                      0,                      0,                      0,                  6.787,                 4.0403,                 4.1696,             0.00022654,             0.00022654,             0.00022654
                     15,                 6.5022,                 3.7575,                  3.946,                      0,                      0,                      0,                      0,                 6.7875,                  4.043,                 4.1716,             0.00024119,             0.00024119,             0.00024119
                     16,                 5.8715,                 2.9488,                 3.8758,                      0,                      0,                      0,                      0,                  6.788,                 4.0461,                 4.1739,             0.00025545,             0.00025545,             0.00025545
