                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.1307,                 2.9452,                 3.7598,                0.00376,                0.34653,                 0.0086,                0.00317,                 3.3603,                  3.725,                  4.194,             0.00090222,             0.00090222,             0.00090222
                     35,                 3.1795,                 2.8957,                 3.6572,                0.00387,                0.35644,                0.00745,                0.00287,                 3.3587,                 3.7274,                 4.2271,             0.00091549,             0.00091549,             0.00091549
                     36,                 3.2322,                 2.8899,                 3.6566,                0.00387,                0.35644,                0.00706,                0.00281,                 3.3573,                 3.7228,                 4.2648,             0.00092797,             0.00092797,             0.00092797
                     37,                 3.1367,                 2.9234,                 3.6092,                0.00387,                0.35644,                0.00706,                0.00281,                 3.3573,                 3.7228,                 4.2648,             0.00093966,             0.00093966,             0.00093966
                     38,                 3.2533,                 2.9356,                 3.5566,                0.00387,                0.35644,                0.01181,                0.00426,                 3.3625,                 3.7162,                 4.3015,             0.00095055,             0.00095055,             0.00095055
                     39,                 3.1424,                 3.0072,                 3.6782,                0.00387,                0.35644,                 0.0119,                0.00424,                 3.3717,                 3.7097,                 4.3262,             0.00096065,             0.00096065,             0.00096065
                     40,                 3.1756,                 3.1119,                 3.7155,                0.00387,                0.35644,                 0.0119,                0.00424,                 3.3717,                 3.7097,                 4.3262,             0.00096996,             0.00096996,             0.00096996
                     41,                 3.3111,                 2.6966,                 3.5071,                  0.004,                0.36634,                0.01178,                0.00444,                 3.3839,                 3.7014,                 4.3669,             0.00097848,             0.00097848,             0.00097848
                     42,                 3.3085,                 2.9216,                 3.6903,                 0.0041,                0.36634,                 0.0083,                0.00333,                 3.4031,                 3.6922,                 4.3918,             0.00098621,             0.00098621,             0.00098621
                     43,                 3.1123,                 2.9076,                 3.6277,                 0.0041,                0.36634,                 0.0083,                0.00333,                 3.4031,                 3.6922,                 4.3918,             0.00099314,             0.00099314,             0.00099314
                     44,                  3.014,                 2.8557,                 3.5803,                0.00412,                0.36634,                0.01115,                0.00413,                 3.4052,                 3.6787,                 4.3816,             0.00099928,             0.00099928,             0.00099928
                     45,                 3.2175,                 2.7468,                 3.5524,                0.00412,                0.36634,                0.01115,                0.00413,                 3.4052,                 3.6787,                 4.3816,              0.0010046,              0.0010046,              0.0010046
                     46,                 3.1763,                 2.8399,                 3.5505,                0.00426,                0.37624,                0.02094,                0.00564,                 3.4123,                 3.6735,                 4.3836,              0.0010092,              0.0010092,              0.0010092
                     47,                 3.0533,                 2.8143,                 3.3541,                0.00426,                0.37624,                0.02094,                0.00564,                 3.4123,                 3.6735,                 4.3836,               0.001013,               0.001013,               0.001013
                     48,                 3.0769,                 2.7714,                   3.52,                0.00432,                0.37624,                0.01722,                0.00515,                 3.4308,                 3.6889,                  4.394,              0.0010159,              0.0010159,              0.0010159
                     49,                 3.1587,                 2.6775,                 3.4548,                0.00432,                0.37624,                0.01722,                0.00515,                 3.4308,                 3.6889,                  4.394,              0.0010181,              0.0010181,              0.0010181
                     50,                 2.9736,                 2.6604,                  3.366,                0.00447,                0.38614,                0.01864,                0.00599,                 3.4571,                 3.6844,                 4.3896,              0.0010195,              0.0010195,              0.0010195
                     51,                 2.9336,                 2.6493,                 3.3412,                0.00447,                0.38614,                0.01864,                0.00599,                 3.4571,                 3.6844,                 4.3896,                0.00101,                0.00101,                0.00101
                     52,                  2.963,                 2.6702,                 3.3891,                0.21953,                 0.0198,                 0.0204,                0.00612,                 3.4467,                 3.6637,                 4.3092,                0.00101,                0.00101,                0.00101
                     53,                 2.8809,                 2.7093,                 3.4082,                0.21953,                 0.0198,                 0.0204,                0.00612,                 3.4467,                 3.6637,                 4.3092,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.9314,                 2.7318,                 3.4221,                0.15632,                 0.0396,                0.02494,                0.00713,                 3.4001,                 3.5949,                 4.2229,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.9123,                 2.5793,                  3.365,                0.15632,                 0.0396,                0.02494,                0.00713,                 3.4001,                 3.5949,                 4.2229,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.9321,                 2.6484,                 3.4324,                0.24981,                0.04299,                0.03658,                0.01078,                 3.3943,                 3.5658,                 4.2132,              0.0009308,              0.0009308,              0.0009308
                     57,                 3.0426,                 2.6827,                 3.3654,                0.24981,                0.04299,                0.03658,                0.01078,                 3.3943,                 3.5658,                 4.2132,               0.000911,               0.000911,               0.000911
                     58,                 2.9024,                 2.6095,                 3.3141,                0.21016,                 0.0495,                0.04993,                0.01592,                 3.3322,                 3.5118,                 4.1288,              0.0008912,              0.0008912,              0.0008912
                     59,                 3.0791,                 2.6343,                 3.3191,                0.21016,                 0.0495,                0.04993,                0.01592,                 3.3322,                 3.5118,                 4.1288,              0.0008714,              0.0008714,              0.0008714
                     60,                 3.0266,                 2.6824,                 3.3054,                0.26011,                0.08911,                0.07997,                0.02233,                  3.257,                 3.4104,                 4.0202,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.9873,                  2.582,                 3.3237,                0.26011,                0.08911,                0.07997,                0.02233,                  3.257,                 3.4104,                 4.0202,              0.0008318,              0.0008318,              0.0008318
                     62,                 3.0094,                  2.748,                 3.3734,                0.19717,                0.10891,                0.06923,                0.01858,                 3.2457,                 3.3893,                 3.9847,               0.000812,               0.000812,               0.000812
                     63,                   2.92,                   2.62,                  3.306,                0.19717,                0.10891,                0.06923,                0.01858,                 3.2457,                 3.3893,                 3.9847,              0.0007922,              0.0007922,              0.0007922
                     64,                 3.0806,                 2.5964,                  3.296,                0.16773,                0.10891,                0.04339,                0.01238,                 3.2578,                 3.4619,                 4.0089,              0.0007724,              0.0007724,              0.0007724
                     65,                 3.0496,                 2.8371,                 3.3389,                0.16773,                0.10891,                0.04339,                0.01238,                 3.2578,                 3.4619,                 4.0089,              0.0007526,              0.0007526,              0.0007526
                     66,                  2.882,                 2.6671,                 3.3221,                 0.0719,                0.07921,                0.03645,                 0.0098,                 3.2548,                 3.5324,                 3.9907,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.9124,                 2.6912,                 3.3309,                 0.0719,                0.07921,                0.03645,                 0.0098,                 3.2548,                 3.5324,                 3.9907,               0.000713,               0.000713,               0.000713
                     68,                 2.8754,                 2.6206,                 3.2961,                0.08194,                0.07921,                0.02652,                0.00803,                 3.2495,                 3.5686,                 3.9149,              0.0006932,              0.0006932,              0.0006932
