                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8938,                  1.203,                 2.3832,                      0,                      0,                      0,                      0,                 6.8537,                 4.4604,                 4.5622,                      0,                      0,                      0
                      2,                 3.2641,                 1.5372,                 2.4685,                      0,                      0,                      0,                      0,                 6.8538,                 4.4627,                 4.5624,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.8709,                 1.2508,                   2.42,                      0,                      0,                      0,                      0,                 6.8539,                 4.4583,                 4.5622,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 3.0413,                 1.2743,                  2.357,                      0,                      0,                      0,                      0,                 6.8538,                 4.4454,                 4.5602,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 3.5649,                 1.2719,                 2.0304,                      0,                      0,                      0,                      0,                 6.8536,                 4.4328,                 4.5564,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.8075,                 1.2503,                 2.2118,                      0,                      0,                      0,                      0,                 6.8532,                 4.4267,                 4.5505,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 3.1869,                 1.4008,                 2.4697,                      0,                      0,                      0,                      0,                 6.8526,                 4.4226,                 4.5426,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.0805,                  1.439,                 2.6049,                      0,                      0,                      0,                      0,                 6.8523,                 4.4264,                  4.537,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.1248,                 1.3056,                 2.3196,                      0,                      0,                      0,                      0,                 6.8516,                  4.417,                 4.5265,             0.00014733,             0.00014733,             0.00014733
                     10,                 2.7967,                 1.1874,                 2.2091,                      0,                      0,                      0,                      0,                 6.8506,                 4.3933,                 4.5156,             0.00016396,             0.00016396,             0.00016396
                     11,                 3.7907,                 1.3275,                 2.0489,                      0,                      0,                      0,                      0,                 6.8499,                 4.3621,                 4.5058,              0.0001802,              0.0001802,              0.0001802
