                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.776,                 7.4966,                 4.2257,                0.00267,                0.13333,                 0.0018,                0.00061,                 3.9456,                  3.939,                 4.1593,                0.00018,                0.00018,                0.00018
                      2,                 5.4499,                 5.6181,                 3.9829,                0.00227,                0.11333,                0.00144,                0.00049,                 3.9434,                 3.9405,                 4.1594,             0.00037875,             0.00037875,             0.00037875
                      3,                 4.4025,                 4.6691,                 3.6217,                0.00267,                0.13333,                 0.0017,                0.00057,                 3.9366,                 3.9417,                 4.1617,             0.00057617,             0.00057617,             0.00057617
                      4,                 3.6325,                 3.6696,                  3.381,                 0.0024,                   0.12,                0.00151,                0.00053,                 3.9179,                 3.9487,                 4.1718,             0.00077228,             0.00077228,             0.00077228
                      5,                 3.6256,                 3.0269,                 2.7867,                0.00227,                0.11333,                0.00154,                0.00055,                 3.8929,                 3.9198,                 4.1781,             0.00096706,             0.00096706,             0.00096706
                      6,                 3.3344,                 2.6329,                 2.5258,                  0.002,                    0.1,                0.00145,                0.00047,                 3.8883,                 3.9208,                 4.1764,              0.0011605,              0.0011605,              0.0011605
                      7,                 3.3439,                 2.2397,                 2.3425,                0.00267,                   0.06,                 0.0017,                0.00063,                 3.8667,                 4.0327,                 4.1823,              0.0013527,              0.0013527,              0.0013527
                      8,                  3.276,                 2.4588,                 2.2095,                 0.0024,                   0.12,                0.00164,                0.00052,                 3.9334,                 4.0362,                 4.1461,              0.0015435,              0.0015435,              0.0015435
                      9,                 3.2213,                 2.3132,                 2.2407,                0.00253,                0.12667,                0.00183,                0.00054,                 3.8149,                 4.0833,                 4.1759,               0.001733,               0.001733,               0.001733
                     10,                 3.0411,                 2.0908,                 2.1824,                0.00283,                   0.14,                0.00455,                0.00117,                 3.6533,                 4.0969,                  4.157,              0.0019212,              0.0019212,              0.0019212
                     11,                 3.0426,                 2.0002,                 2.0015,                0.00537,                0.13333,                0.00572,                0.00169,                 3.5853,                 3.9997,                 4.0711,               0.001934,               0.001934,               0.001934
                     12,                 2.9739,                 1.9623,                 1.9996,                0.13531,                0.04667,                0.03658,                0.00987,                 3.3605,                 3.6827,                 3.6368,               0.001934,               0.001934,               0.001934
                     13,                 2.9288,                 1.9087,                 1.8788,                0.15099,                0.15333,                0.05162,                0.01185,                 3.3493,                  3.723,                 3.3662,              0.0019274,              0.0019274,              0.0019274
                     14,                 2.9233,                 1.8353,                 1.8172,                 0.1701,                   0.16,                0.06073,                0.01544,                 3.3564,                 3.7076,                 3.2567,              0.0019208,              0.0019208,              0.0019208
                     15,                 2.8365,                 1.8288,                 1.7715,                0.25806,                   0.16,                0.09698,                0.03245,                 3.3177,                 3.5704,                 3.4145,              0.0019142,              0.0019142,              0.0019142
                     16,                 2.7995,                 1.8339,                 1.8061,                 0.1565,                0.17333,                0.06394,                0.01861,                 3.3756,                   3.47,                 3.3475,              0.0019076,              0.0019076,              0.0019076
                     17,                 2.7566,                 1.6815,                 1.6658,                0.21084,                    0.2,                0.12342,                0.04661,                 3.3121,                 3.1124,                 3.4301,               0.001901,               0.001901,               0.001901
                     18,                 2.7691,                 1.6172,                 1.6906,                 0.1838,                0.17333,                0.08264,                0.02816,                 3.3567,                 3.3539,                 4.0258,              0.0018944,              0.0018944,              0.0018944
                     19,                 2.7758,                 1.7033,                 1.6824,                 0.1492,                0.14667,                0.06414,                0.01388,                 3.3501,                 3.2345,                 3.3552,              0.0018878,              0.0018878,              0.0018878
                     20,                 2.7764,                 1.6527,                 1.7113,                0.29175,                0.19333,                0.15935,                0.05288,                 3.3166,                 3.7603,                 3.3601,              0.0018812,              0.0018812,              0.0018812
                     21,                 2.7661,                 1.6051,                 1.6413,                0.43455,                0.20667,                0.19618,                0.07102,                  3.128,                 3.4247,                 3.3097,              0.0018746,              0.0018746,              0.0018746
                     22,                 2.6801,                 1.6598,                 1.6969,                0.28533,                0.20667,                0.14422,                0.04701,                  3.242,                 3.2139,                 3.3018,               0.001868,               0.001868,               0.001868
                     23,                 2.6774,                 1.6126,                  1.605,                 0.2642,                0.18667,                0.13671,                0.04574,                 3.2071,                 3.3225,                 3.2952,              0.0018614,              0.0018614,              0.0018614
                     24,                 2.6688,                 1.5553,                 1.6242,                0.27337,                0.18667,                0.16181,                0.06012,                 3.1937,                 3.2665,                 3.5373,              0.0018548,              0.0018548,              0.0018548
                     25,                 2.5599,                 1.4982,                 1.6204,                0.28042,                0.23333,                0.13894,                 0.0478,                 3.2692,                  3.686,                 3.2715,              0.0018482,              0.0018482,              0.0018482
                     26,                 2.6508,                 1.5444,                 1.5736,                0.12752,                0.17149,                0.05893,                0.02152,                 3.1556,                 3.6586,                 3.1975,              0.0018416,              0.0018416,              0.0018416
                     27,                 2.5806,                 1.4841,                 1.5741,                 0.4202,                0.21333,                0.17583,                0.07423,                 3.1511,                 3.6381,                 3.1928,               0.001835,               0.001835,               0.001835
