                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1395,                 2.3537,                 3.3002,                      0,                      0,                      0,                      0,                 5.7932,                 4.1537,                 4.3317,                      0,                      0,                      0
                      2,                  3.426,                 2.0719,                 2.7534,                      0,                      0,                      0,                      0,                 5.7848,                 4.1413,                 4.3212,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 3.5071,                 2.3043,                 2.6734,                      0,                      0,                      0,                      0,                 5.7748,                 4.1239,                 4.3098,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 3.3526,                 1.9452,                 2.6412,                      0,                      0,                      0,                      0,                 5.7539,                 4.0897,                 4.2862,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 3.1763,                 2.1474,                  2.892,                      0,                      0,                      0,                      0,                  5.727,                 4.0439,                 4.2564,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 3.4765,                 2.1563,                 2.9845,                      0,                      0,                      0,                      0,                 5.6899,                 3.9862,                 4.2175,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 3.2163,                 2.0385,                 2.8312,                      0,                      0,                      0,                      0,                  5.645,                 3.9156,                 4.1754,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.5034,                 1.9545,                 2.8217,                      0,                      0,                      0,                      0,                 5.6012,                 3.8424,                 4.1355,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.6824,                 1.8939,                 2.3456,                0.00067,                0.00588,                0.00035,                  3e-05,                 5.5457,                 3.7604,                 4.0915,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.3573,                 1.8833,                 2.7384,                0.00067,                0.00588,                0.00035,                  3e-05,                 5.4922,                 3.6857,                 4.0548,             0.00016396,             0.00016396,             0.00016396
                     11,                 3.3598,                 2.3205,                 2.9569,                0.00133,                0.01176,                0.00582,                0.00067,                  5.412,                  3.596,                 4.0041,              0.0001802,              0.0001802,              0.0001802
                     12,                 3.0867,                 1.7419,                 2.6536,                0.00133,                0.01176,                0.00565,                0.00141,                 5.3323,                  3.517,                 3.9611,             0.00019604,             0.00019604,             0.00019604
                     13,                 3.1121,                 1.7087,                 2.4567,                  0.002,                0.01765,                0.01099,                0.00301,                 5.2686,                 3.4483,                 3.9327,             0.00021149,             0.00021149,             0.00021149
                     14,                 3.3383,                 2.0023,                 2.7801,                  0.002,                0.01765,                0.01099,                0.00289,                  5.235,                 3.4103,                 3.9253,             0.00022654,             0.00022654,             0.00022654
                     15,                 3.4181,                 1.9779,                 2.7357,                  0.002,                0.01765,                0.01099,                0.00241,                  5.261,                 3.4177,                 3.9475,             0.00024119,             0.00024119,             0.00024119
                     16,                 3.3624,                 1.9997,                  2.645,                0.00267,                0.02353,                 0.0079,                0.00226,                 5.3231,                  3.465,                 3.9949,             0.00025545,             0.00025545,             0.00025545
                     17,                  3.241,                 1.9559,                 2.8295,                0.30534,                0.01176,                 0.0079,                0.00217,                 5.3825,                 3.5231,                 4.0474,             0.00026931,             0.00026931,             0.00026931
                     18,                 3.1824,                 1.7701,                 2.5284,                0.30534,                0.01176,                 0.0079,                0.00217,                 5.3825,                 3.5231,                 4.0474,             0.00028278,             0.00028278,             0.00028278
                     19,                 3.0362,                 1.8694,                 2.6321,                0.27738,                0.00588,                0.01213,                0.00383,                 5.3445,                 3.5182,                 4.0558,             0.00029585,             0.00029585,             0.00029585
                     20,                 3.2201,                 1.6937,                 2.4138,                0.27738,                0.00588,                0.01213,                0.00383,                 5.3445,                 3.5182,                 4.0558,             0.00030852,             0.00030852,             0.00030852
                     21,                 3.2802,                 1.8007,                 2.6986,                0.31775,                0.01655,                0.01262,                 0.0039,                 5.2779,                 3.4828,                 4.0502,              0.0003208,              0.0003208,              0.0003208
                     22,                 3.3226,                 1.8923,                 2.7188,                0.31775,                0.01655,                0.01262,                 0.0039,                 5.2779,                 3.4828,                 4.0502,             0.00033268,             0.00033268,             0.00033268
